"","polymer_number","polymer_name","area","elongation","length","width","volume","weight","FTIR_analysed_filter","shape","sampletype","location","sieve","sample_volume"
"99",3,"polyethylene, chlorinated",3267,2.80971491241993,130.733507564052,46.5291005098644,103736.810160672,1.20334699786379e-07,"BS100III","particle","sample","BS",100,1870
"100",3,"polyethylene, chlorinated",3236.75,1.65247021485358,96.2107062649474,58.2223542670466,119536.239734119,1.38662038091578e-07,"BS100III","particle","sample","BS",100,1870
"101",3,"polyethylene, chlorinated",151.25,1.26491106421403,12.2983738762488,9.72271824018758,426.108065325047,4.94285355777054e-10,"BS100III","particle","sample","BS",100,1870
"102",3,"polyethylene, chlorinated",151.25,2.88675134617217,15.556349186104,5.38887743370476,165.577361313585,1.92069739123759e-10,"BS100III","particle","sample","BS",100,1870
"103",3,"polyethylene, chlorinated",151.25,1.73205080800576,12.2983738762488,7.10046946625596,227.257634778087,2.63618856342581e-10,"BS100III","particle","sample","BS",100,1870
"104",3,"polyethylene, chlorinated",151.25,5,27.5,5.5,304.898112015584,3.53681809938078e-10,"BS100III","particle","sample","BS",100,1870
"105",3,"polyethylene, chlorinated",151.25,2.61803398743799,16.5,6.3024391887849,240.213789441932,2.78647995752641e-10,"BS100III","particle","sample","BS",100,1870
"106",3,"polyethylene, chlorinated",151.25,5,27.5,5.5,304.898112015584,3.53681809938078e-10,"BS100III","particle","sample","BS",100,1870
"107",3,"polyethylene, chlorinated",151.25,1.62117497807601,12.2983738762488,7.58608666095031,259.405961926048,3.00910915834215e-10,"BS100III","particle","sample","BS",100,1870
"108",3,"polyethylene, chlorinated",121,2.61803398874989,12.2983738762488,4.69756081437327,99.4693262567895,1.15384418457876e-10,"BS100III","particle","sample","BS",100,1870
"109",3,"polyethylene, chlorinated",121,4,22,5.5,243.918489612467,2.82945447950462e-10,"BS100III","particle","sample","BS",100,1870
"110",3,"polyethylene, chlorinated",121,4,22,5.5,243.918489612467,2.82945447950462e-10,"BS100III","particle","sample","BS",100,1870
"111",3,"polyethylene, chlorinated",121,1.63299316185545,11,6.73609679265374,182.938867209351,2.12209085962847e-10,"BS100III","particle","sample","BS",100,1870
"112",3,"polyethylene, chlorinated",121,2.61803398874989,12.2983738762488,4.69756081437327,99.4693262567895,1.15384418457876e-10,"BS100III","particle","sample","BS",100,1870
"113",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"114",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"115",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"116",1,"polyethylene",30.25,1,5.5,5.5,60.9796224031169,5.7930641282961e-11,"BS100III","particle","sample","BS",100,1870
"117",3,"polyethylene, chlorinated",1119.25,1.51539860055065,47.3127889687344,31.2213492552669,16903.5742924733,1.9608146179269e-08,"BS100III","particle","sample","BS",100,1870
"118",3,"polyethylene, chlorinated",1089,1.32094996235967,46.9920205992464,35.5744138220819,21796.9780735618,2.52844945653317e-08,"BS100III","particle","sample","BS",100,1870
"119",3,"polyethylene, chlorinated",1089,2.20254295247381,52.1775813927783,23.68969982364,10732.4709593652,1.24496663128636e-08,"BS100III","particle","sample","BS",100,1870
"120",3,"polyethylene, chlorinated",1028.5,1.85983985018564,52.1775813927783,28.0548786969857,15052.1104707239,1.74604481460397e-08,"BS100III","particle","sample","BS",100,1870
"121",3,"polyethylene, chlorinated",1028.5,1.50398945591799,47.3127889687344,31.4581919325067,17161.0053745059,1.99067662344269e-08,"BS100III","particle","sample","BS",100,1870
"122",3,"polyethylene, chlorinated",998.25,1.23069675709528,40.0406043910428,32.5349068811619,15534.4693572341,1.80199844543916e-08,"BS100III","particle","sample","BS",100,1870
"123",3,"polyethylene, chlorinated",998.25,2.43224905871844,61.4918693812442,25.2818966712416,14405.6766488009,1.67105849126091e-08,"BS100III","particle","sample","BS",100,1870
"124",3,"polyethylene, chlorinated",998.25,2.27999598479077,57.421685799008,25.184994264048,13349.2329990788,1.54851102789314e-08,"BS100III","particle","sample","BS",100,1870
"125",3,"polyethylene, chlorinated",937.75,1.65275249870384,44.342417615642,26.8294361378472,11698.7408587948,1.35705393962019e-08,"BS100III","particle","sample","BS",100,1870
"126",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"127",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"128",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"129",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"130",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"131",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"132",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"133",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"134",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"135",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"136",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"137",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"138",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"139",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"140",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
